"model_size","bic","cp","adjr2","val_mse","cv_mse"
1,-90.8463663521424,104.281319211746,0.318850280578499,185698.246596462,157017.952724538
2,-128.926215150945,50.7230902959137,0.420802390670369,169615.47377444,140861.809339794
3,-135.626925432641,38.6931273743867,0.445075316286119,163423.356296801,145650.258465304
4,-141.808918073097,27.8562197441253,0.467273423214861,154860.929202856,146230.769285707
5,-144.071433880546,21.6130105410737,0.480897071527011,151301.519380208,142724.698893024
6,-147.916904024533,14.0238700669414,0.497200054797098,165721.720954865,128916.447391388
7,-145.255936247427,13.1284739398799,0.500784873641778,159547.556568428,128438.992286323
8,-147.615246501102,7.40071933158742,0.513708257477458,162521.354180974,118990.224048373
9,-145.443155479562,6.15868543669126,0.51805715937398,162639.524565977,121194.343693397
10,-143.216512456046,5.00931724974294,0.522260623597179,156954.498350027,115788.54031977
11,-138.860774028063,5.87411344655592,0.522570578730917,160870.862243968,119227.234411789
12,-133.872834690481,7.33076637063118,0.521724458646507,159327.726911274,119927.63369553
13,-128.777590156204,8.88811208092307,0.5206736454971,163028.552677155,121793.129405252
14,-123.644195145537,10.4815763432591,0.519543086092702,162632.046569486,122575.937840831
15,-118.218318270339,12.3461927307807,0.517866147524149,164321.866323365,124282.276975832
16,-112.817680381671,14.1875456062003,0.516221853907086,165545.313239295,123404.209195132
17,-107.353386842191,16.0878309655752,0.514446423331,162958.545387838,123194.071453061
18,-101.863910711576,18.0114247562913,0.512609692022866,162934.823901025,122996.224552378
19,-96.3041214541842,20,0.510626978687586,162860.650844857,122959.860030684
